ssgrp_nom,meal_name,test_name,test_value,meal_value
feuilletées et autres entrées,"Spécialité chinoise type bouchée à la vapeur, préemballée, cuite",Phosphore P,-45,-
feuilletées et autres entrées,"Feuilleté aux escargots, préemballé",Phosphore P,-45,-
feuilletées et autres entrées,Feuilleté ou Friand au fromage,Phosphore P,-45,172
feuilletées et autres entrées,"Feuilleté ou Friand à la viande, préemballé",Phosphore P,-45,"38,8"
feuilletées et autres entrées,"Bouchée à la reine, à la viande/volaille/quenelle",Phosphore P,-45,86
feuilletées et autres entrées,Croissant au jambon,Phosphore P,-45,-
feuilletées et autres entrées,Rouleau de printemps,Phosphore P,-45,"14,9"
feuilletées et autres entrées,Nem ou Pâté impérial,Phosphore P,-45,67
feuilletées et autres entrées,"Brick garni (garniture : crevettes, légumes, volaille, viande, poisson, etc.), fait maison, cuit",Phosphore P,-45,115
feuilletées et autres entrées,"Bouchée à la reine, au poisson et fruits de mer",Phosphore P,-45,"91,2"
feuilletées et autres entrées,Feuilleté ou Friand jambon fromage,Phosphore P,-45,114
feuilletées et autres entrées,"Beignet de viande, volaille ou poisson, fait maison, cru",Phosphore P,-45,180
feuilletées et autres entrées,"Brick à l'oeuf, fait maison, cuit",Phosphore P,-45,141
feuilletées et autres entrées,Brick au boeuf,Phosphore P,-45,119
feuilletées et autres entrées,"Brick à la pomme de terre, fait maison, cuit",Phosphore P,-45,54
feuilletées et autres entrées,Feuilleté salé (aliment moyen),Phosphore P,-45,112
feuilletées et autres entrées,"Bouchée à la reine, garnie (aliment moyen)",Phosphore P,-45,"88,6"
