ssgrp_nom,Food name,Calcium Ca,Cuivre Cu,Fer Fe,Iode I,Manganèse Mn,Phosphore P,Potassium K,Sélénium Se,Sodium Na,Zinc Zn,Vitamine E,Vitamine C ,Vitamine B6 ,Vitamine B9 ,Vitamine B12 
plats composés,Poulet au curry et au lait de coco,18,"0,05","0,51",< 20,"0,12",110,210,< 20,427,"0,44","1,65","2,51","0,17","17,5","0,15"
plats composés,"Meloukhia, plat à base de boeuf et corete, fait maison","51,3","0,04","2,4","2,8","0,05",88,228,"2,1",373,2,"5,1","1,5","0,12",20,"0,66"
plats composés,"Palette à la diable, préemballée",-,-,1,-,-,-,-,-,901,-,-,-,-,-,-
plats composés,"Langue de boeuf sauce madère, préemballée",-,-,-,-,-,-,-,-,430,-,-,-,-,-,-
plats composés,"Porc au caramel, préemballé","9,9","0,04","0,49",< 20,"0,11",94,160,< 20,536,"1,1","0,62","< 0,5","0,094","9,1","0,27"
plats composés,"Boulettes au boeuf, à la sauce tomate, préemballées",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
plats composés,"Paupiette de veau, préemballée,  cuite au four",24,"0,07","0,94",< 20,"0,03",180,260,< 20,428,"2,3","< 0,08","1,62","0,22","11,9","1,61"
plats composés,"Carpaccio de boeuf, avec marinade",112,"0,1","1,84","9,12","0,064",187,242,"5,84",437,"2,79","3,18","5,87","0,27",12,"2,04"
plats composés,Yakitori (brochettes japonaises grillées en sauce),"9,8","0,06","0,61",< 20,"0,15",220,340,< 20,475,"1,5","0,5",-,"0,25","31,8","0,41"
plats composés,"Brochette de boeuf, cuite",23,"0,1","2,4",< 20,"0,08",200,430,< 20,345,"4,4","0,65","10,8","0,31","19,8","1,94"
plats composés,"Brochette de volaille, cuite",13,"0,05","0,61",< 20,"0,1",230,520,< 20,299,"1,1","0,74","8,49","0,47","88,3","0,7"
plats composés,"Hachis parmentier à la viande, préemballé","59,6","0,079","0,71","4,55","0,087","45,5",184,< 10,322,"1,2","0,2","0,65","0,08","5,71","0,42"
plats composés,Couscous au mouton,"31,6","0,1","1,24",3,"0,19","95,4",187,-,322,"1,22","0,4",5,"0,11",18,"0,5"
plats composés,"Couscous à la viande ou au poulet, préemballé, allégé",22,-,"0,78","2,3","0,16",88,148,-,300,-,"0,97",7,"0,13",18,"0,04"
plats composés,"Poêlée de pommes de terre préfrites, lardons ou poulet, et autres, sans légumes verts, préemballée",26,"0,08","0,49",< 20,"0,1",88,390,< 20,260,"0,45","1,49","3,04","0,15","23,8","0,15"
plats composés,"Couscous royal (avec plusieurs viandes), préemballé","25,2","0,098","0,93","5,8","0,21","72,3",179,"< 2,58",345,"1,02","0,4","1,69","0,15","17,2","0,28"
plats composés,Couscous au poulet,"18,4",-,"0,86",3,-,69,153,-,307,-,"0,48","4,05","0,14","19,1","0,13"
plats composés,"Couscous à la viande, préemballé","25,2","0,098",-,-,"0,21",-,179,"< 2,58",313,"1,02",-,-,-,-,-
plats composés,"Parmentier de canard, préemballé",-,-,-,-,-,-,-,-,310,-,-,-,-,-,-
plats composés,"Parmentier de canard, préemballé, cuit",39,"0,07","0,68",< 20,"0,06",74,290,< 20,296,"0,89","< 0,08","< 0,5","0,11","45,9","0,61"
plats composés,"Cassoulet, appertisé","45,7","0,14","1,23",6,"0,22",107,289,< 10,388,"0,88","0,18","2,94","0,091",30,"0,12"
plats composés,"Choucroute garnie, préemballée","27,1","0,076","0,83","17,8","0,067","60,6","97,5",< 10,552,"0,84","0,25","9,09","0,02",10,-
plats composés,"Petit salé ou saucisse aux lentilles, préemballé",20,"0,2","1,8",2,"0,3",145,167,"2,8",384,"1,2","0,39","< 0,5","0,14","22,9","0,13"
plats composés,"Pot-au-feu, préemballé","23,5","0,15","1,69",6,"0,069",-,189,< 10,130,"3,48",-,-,-,"4,6",-
plats composés,Boeuf aux carottes,"15,9","< 0,1","0,9","3,5","< 0,1",95,119,"3,2",231,"3,5","0,4",2,"0,16","9,5","0,8"
plats composés,Potée auvergnate (chou et porc),"30,5","0,09","1,05",4,"0,15",78,221,"2,4",356,"0,6","0,5","10,5","0,16","19,9","0,2"
plats composés,"Cassoulet au porc, appertisé",-,-,-,-,-,-,293,-,500,-,-,-,-,-,-
plats composés,"Cassoulet au canard ou oie, appertisé",-,-,-,-,-,-,307,-,416,-,-,-,-,-,-
plats composés,Tomate farcie,"18,4","0,066","0,87",4,"0,12",62,199,"< 2,2",280,"0,75","1,1",7,"0,07",-,-
plats composés,"Chou farci, préemballé",145,"0,23",-,-,"0,65",-,-,"5,33",350,"0,8",-,-,-,-,-
plats composés,"Chili con carne, préemballé","32,8","0,15","1,6",2,"0,2","78,5",282,-,371,"1,2","0,88","2,25","0,15",44,"0,35"
plats composés,Moussaka,16,"0,06","0,62","5,2","0,06",150,576,"1,4",393,"0,47","0,46","3,1","0,09",10,"0,6"
plats composés,Navarin d'agneau aux légumes,"22,1","0,065","1,31","5,16","0,16",107,230,"1,8",260,"0,85","0,84","4,76","0,14","18,4","1,19"
plats composés,Tajine de mouton,"5,1","0,1","1,6",2,"< 0,1",102,211,1,394,3,"0,71","< 0,5","0,19",24,"1,65"
plats composés,Osso buco,"13,7","0,057","0,6","3,3","0,066","97,4",234,"3,24",586,"1,26","0,53","2,4","0,19",11,"0,38"
plats composés,"Poulet basquaise, préemballé",-,-,-,-,-,-,-,-,355,-,-,-,-,-,-
plats composés,"Tajine de poulet, préemballé",18,"0,06","0,45",< 20,"0,13",82,220,< 20,466,"0,46","1,27","< 0,5","0,096","30,2","0,075"
plats composés,"Chop suey (porc ou poulet), préemballé",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
plats composés,Légumes farcis (sauf tomate),"27,1","0,1","0,56","6,4","0,096","77,6",184,"2,58",277,"0,63","0,55","4,86","0,11","21,2","0,18"
plats composés,Moules marinières (oignons et vin blanc),-,-,-,-,-,-,-,-,345,-,-,-,-,-,-
plats composés,"Moules farcies (matière grasse, persillade…), préemballées, crues",40,"0,11","2,5",100,"0,16",180,180,30,430,2,"1,79","< 0,5","0,063","54,2","19,3"
plats composés,"Gratin ou cassolette de poisson et / ou fruits de mer,  préemballé, cru","58,2","0,05","0,41",-,-,"37,1",223,-,328,"0,55",-,-,-,-,-
plats composés,"Gratin ou cassolette de poisson et / ou fruits de mer, préemballé, cuit",52,"0,03","0,28",20,"0,05",120,180,< 20,366,"0,47","0,63","< 0,5","0,022","19,4","0,95"
plats composés,"Saumon à l'oseille, préemballé",-,-,-,-,-,-,-,-,277,-,-,-,-,-,-
plats composés,"Poisson blanc à la bordelaise, préemballé","21,1",< 1,"1,2",92,< 1,162,317,"4,9",513,< 1,"2,6","9,7","< 0,05",< 5,"2,2"
plats composés,"Poisson blanc à la provençale ou niçoise (sauce tomate), préemballé","16,1",-,< 1,71,-,99,348,"3,8",280,-,"1,1",-,"< 0,05",< 5,"1,1"
plats composés,"Poisson blanc à la florentine (sauce aux épinards), préemballé",-,-,-,-,-,-,-,-,232,-,-,-,-,-,-
plats composés,"Poisson blanc à la marinière (sauce aux oignons, vin blanc, moules), préemballé",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
plats composés,"Poisson blanc à la sauce moutarde, préemballé",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
plats composés,"Poisson blanc à la parisienne (sauce aux champignons), préemballé",-,-,-,-,-,-,-,-,220,-,-,-,-,-,-
plats composés,"Poisson blanc à l'estragon, préemballé",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
plats composés,"Poisson blanc sauce oseille, préemballé",40,"0,03","0,24",44,"0,04",130,260,< 50,350,"0,33","1,1","< 0,5","0,058","18,8","1,87"
plats composés,"Saumon farci, préemballé",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
plats composés,Brochette de poisson,"26,5","0,026","0,72","65,5","0,049",190,320,"11,7",223,"0,25","1,02","6,33","0,26",12,"2,03"
plats composés,Brochette de crevettes,100,"0,01","1,7","31,5","0,085",153,169,"4,92",140,"0,51","1,96","8,33","0,11","10,1","1,14"
plats composés,"Poisson en sauce, surgelé","18,2","0,051","0,4","79,5","0,042",164,331,"4,58",327,"0,26","2,31",0,"0,17","34,5","1,53"
plats composés,Poisson cuit (aliment moyen),"29,9","0,069","0,69","61,7","0,037",228,347,"36,2",216,"0,61","0,91","0,96","0,33","17,7","3,87"
plats composés,"Poisson blanc, cuit (aliment moyen)","30,3","0,051","0,38","63,5","0,026",192,296,"32,3",354,"0,58","0,71","0,45","0,21",15,"1,92"
plats composés,"Poisson blanc, de mer, cuit (aliment moyen)","27,6","0,05","0,37","68,3","0,014",189,294,"33,7",392,"0,56","0,71","0,37","0,21","13,6","1,99"
plats composés,Paëlla,"38,7","0,11","0,69",4,"0,13",90,148,< 10,343,"0,68","1,3","1,95","0,12","18,8","1,1"
plats composés,Couscous au poisson,24,"0,1","4,1",10,"0,2",89,192,-,337,"0,4","1,2","7,6","0,1",24,"0,5"
plats composés,"Gratin de poisson et purée ou brandade aux pommes de terre ou parmentier de poisson, préemballé","46,8",< 1,< 1,20,< 1,90,190,"4,7",323,< 1,"1,5",< 1,"< 0,05",< 5,"0,36"
plats composés,Sushi ou Maki aux produits de la mer,16,"0,08","0,25",< 20,"0,21",81,130,< 20,218,"0,44","0,33","1,11","0,15","9,19","1,36"
plats composés,Terrine ou mousse de légumes,"50,5",-,"0,78",6,-,132,232,-,524,"0,7","2,11","2,16","0,36",110,traces
plats composés,Flan de légumes,72,"0,06","0,75",< 20,"0,09",100,200,< 20,354,"0,58","1,36","< 0,5","0,073","51,4","0,6"
plats composés,"Haricots blancs à la sauce tomate, appertisés",-,-,-,-,-,-,-,-,349,-,-,-,-,-,-
plats composés,"Piperade basquaise, préemballée","7,6","0,05","0,24",< 20,"0,08",14,190,< 20,300,"0,09","1,3","12,2","0,063",11,-
plats composés,"Poêlée de légumes assaisonnés sans champignon, surgelée, crue","24,5",-,6,-,-,-,-,-,500,-,-,"30,8",-,-,-
